ID_tribuna;Tribuna
1;Brain
2;Bishop
3;Bishop
4;Others
5;Bishop
6;Bishop
7;Bishop
8;Brain
9;Others
10;Brain
11;Brain
12;Bishop
13;Others
14;Bishop
15;Others
16;Brain
17;Brain
18;Brain
19;Bishop
20;Bishop
21;Bishop
22;Others
23;Brain
24;Brain
25;Brain
26;Brain
27;Brain
28;Brain
29;Brain
30;Brain
31;Others
32;Brain
33;Bishop
34;Bishop
35;Brain
36;Brain
37;Bishop
38;Bishop
39;Brain
40;Bishop
41;Others
42;Bishop
43;Brain
44;Others
45;Others
46;Brain
47;Bishop
48;Others
49;Brain
50;Brain
51;Brain
52;Brain
53;Brain
54;Bishop
55;Bishop
56;Bishop
57;Brain
58;Bishop
59;Brain
60;Bishop
61;Bishop
62;Bishop
63;Bishop
64;Bishop
65;Bishop
66;Bishop
67;Brain
68;Bishop
69;Others
70;Bishop
71;Brain
72;Bishop
73;Brain
74;Bishop
75;Bishop
76;Brain
77;Brain
78;Bishop
79;Bishop
80;Brain
81;Bishop
82;Others
83;Others
84;Brain
85;Bishop
86;Bishop
87;Brain
88;Brain
89;Bishop
90;Bishop
91;Bishop
92;Bishop
93;Brain
94;Bishop
95;Bishop
96;Bishop
97;Bishop
98;Bishop
99;Bishop
100;Bishop
