ID_evento;Tipo_evento;Fecha_Show;Hora_Show
1;Sector 5;2023-05-03;21:00:00
2;Sector 6;2023-05-13;17:00:00
3;Sector 7;2023-04-27;21:00:00
4;VIP Parking;2023-04-27;21:00:00
5;Sector 7;2023-04-27;21:00:00
6;Sector 6;2023-04-27;21:00:00
7;Sector 9;2023-04-28;21:00:00
8;Sector 4;2023-04-29;17:00:00
9;General Parking;2023-04-29;17:00:00
10;Sector 3;2023-04-29;21:00:00
11;Sector 4;2023-04-29;21:00:00
12;Sector 8;2023-04-29;17:00:00
13;General Parking;2023-04-29;17:00:00
14;Sector 9;2023-04-29;17:00:00
15;VIP Parking;2023-04-29;17:00:00
16;Sector 3;2023-04-29;17:00:00
17;Sector 5;2023-04-29;21:00:00
18;Sector 5;2023-04-29;21:00:00
19;Sector 9;2023-04-29;17:00:00
20;Sector 9;2023-04-29;17:00:00
21;Sector 8;2023-04-29;21:00:00
22;General Parking;2023-04-29;21:00:00
23;Sector 2;2023-04-29;17:00:00
24;Sector 2;2023-04-29;17:00:00
25;Sector 2;2023-04-29;21:00:00
26;Sector 4;2023-04-29;17:00:00
27;Sector 4;2023-04-29;17:00:00
28;Sector 2;2023-04-29;21:00:00
29;Sector 2;2023-04-29;21:00:00
30;Sector 2;2023-04-29;21:00:00
31;General Parking;2023-04-30;16:00:00
32;Sector 1;2023-04-30;16:00:00
33;Sector 6;2023-04-30;16:00:00
34;Sector 6;2023-04-30;16:00:00
35;Sector 1;2023-04-30;16:00:00
36;Sector 1;2023-05-02;21:00:00
37;Sector 10;2023-05-02;21:00:00
38;Sector 10;2023-05-02;21:00:00
39;Sector 2;2023-05-02;21:00:00
40;Sector 9;2023-05-04;21:00:00
41;General Parking;2023-05-04;21:00:00
42;Sector 9;2023-05-04;21:00:00
43;Sector 1;2023-05-04;21:00:00
44;VIP Parking;2023-05-04;21:00:00
45;Previous Experience;2023-05-04;21:00:00
46;Sector 2;2023-05-04;21:00:00
47;Sector 8;2023-05-05;21:00:00
48;VIP Parking;2023-05-06;17:00:00
49;Sector 1;2023-05-06;17:00:00
50;Sector 2;2023-05-06;17:00:00
51;Sector 4;2023-05-06;21:00:00
52;Sector 2;2023-05-06;21:00:00
53;Sector 2;2023-05-06;21:00:00
54;Sector 10;2023-05-06;21:00:00
55;Sector 10;2023-05-06;21:00:00
56;Sector 7;2023-05-06;21:00:00
57;Sector 3;2023-05-06;17:00:00
58;Sector 8;2023-05-06;21:00:00
59;Sector 2;2023-05-06;21:00:00
60;Sector 7;2023-05-06;21:00:00
61;Sector 7;2023-05-06;21:00:00
62;Sector 6;2023-05-07;16:00:00
63;Sector 10;2023-05-07;16:00:00
64;Sector 10;2023-05-07;16:00:00
65;Sector 6;2023-05-09;21:00:00
66;Sector 8;2023-05-09;21:00:00
67;Sector 2;2023-05-09;21:00:00
68;Sector 8;2023-05-10;21:00:00
69;Previous Experience;2023-05-10;21:00:00
70;Sector 9;2023-05-11;21:00:00
71;Sector 3;2023-05-11;21:00:00
72;Sector 9;2023-05-11;21:00:00
73;Sector 4;2023-05-12;21:00:00
74;Sector 8;2023-05-13;17:00:00
75;Sector 9;2023-05-13;21:00:00
76;Sector 5;2023-05-13;21:00:00
77;Sector 5;2023-05-13;21:00:00
78;Sector 7;2023-05-13;17:00:00
79;Sector 10;2023-05-13;21:00:00
80;Sector 2;2023-05-13;21:00:00
81;Sector 7;2023-05-13;17:00:00
82;VIP Parking;2023-05-14;16:00:00
83;Previous Experience;2023-05-14;16:00:00
84;Sector 1;2023-05-14;16:00:00
85;Sector 6;2023-05-14;16:00:00
86;Sector 6;2023-05-14;20:00:00
87;Sector 2;2023-04-27;21:00:00
88;Sector 3;2023-04-28;21:00:00
89;Sector 6;2023-04-28;21:00:00
90;Sector 9;2023-04-28;21:00:00
91;Sector 9;2023-04-28;21:00:00
92;Sector 9;2023-04-28;21:00:00
93;Sector 3;2023-04-29;17:00:00
94;Sector 6;2023-04-29;21:00:00
95;Sector 8;2023-04-29;21:00:00
96;Sector 6;2023-04-29;21:00:00
97;Sector 7;2023-04-29;17:00:00
98;Sector 7;2023-04-29;17:00:00
99;Sector 6;2023-04-30;16:00:00
100;Sector 6;2023-04-30;20:00:00
